* T-Spice 13.00 Simulation	Tue Apr 24 13:54:01 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Half_Adder\Half_Adder.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Half_Adder\Half_Adder.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Half_Adder\Half_Adder.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 10                MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 6       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 4       
*   Independent nodes - 9                    Boundary nodes - 4       
*         Total nodes - 13      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>    v(Sum)<V>  v(Carry)<V>
 8.068250e-008  1.5875e+000  1.5875e+000  1.5781e+000  1.1199e+000
 8.072199e-008  1.3900e+000  1.3900e+000  1.3482e+000  1.0904e+000
 8.077219e-008  1.1390e+000  1.1390e+000  1.2026e+000  1.0662e+000
 8.083241e-008  8.3791e-001  8.3791e-001  1.0901e+000  1.0437e+000
 8.089838e-008  5.0809e-001  5.0809e-001  1.0423e+000  1.0339e+000
 8.096741e-008  1.6292e-001  1.6292e-001  1.0306e+000  1.0309e+000
 8.100000e-008  0.0000e+000  0.0000e+000  1.0325e+000  1.0321e+000
 8.104851e-008  0.0000e+000  0.0000e+000  1.0313e+000  1.0309e+000
 8.153371e-008  0.0000e+000  0.0000e+000  1.0309e+000  1.0308e+000
 8.353371e-008  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 8.553371e-008  0.0000e+000  0.0000e+000  1.0309e+000  1.0308e+000
 8.753371e-008  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 8.953371e-008  0.0000e+000  0.0000e+000  1.0309e+000  1.0308e+000
 9.000000e-008  0.0000e+000  8.2718e-015  1.0308e+000  1.0308e+000
 9.001500e-008  0.0000e+000  7.5016e-002  1.0308e+000  1.0308e+000
 9.010500e-008  0.0000e+000  5.2502e-001  1.0322e+000  1.0308e+000
 9.015000e-008  0.0000e+000  7.5002e-001  1.0428e+000  1.0308e+000
 9.020702e-008  0.0000e+000  1.0351e+000  1.0789e+000  1.0308e+000
 9.027120e-008  0.0000e+000  1.3560e+000  1.1453e+000  1.0308e+000
 9.033930e-008  0.0000e+000  1.6965e+000  1.2632e+000  1.0308e+000
 9.041574e-008  0.0000e+000  2.0787e+000  1.4904e+000  1.0308e+000
 9.050538e-008  0.0000e+000  2.5269e+000  2.0700e+000  1.0308e+000
 9.058144e-008  0.0000e+000  2.9072e+000  2.7312e+000  1.0308e+000
 9.065806e-008  0.0000e+000  3.2903e+000  3.1017e+000  1.0308e+000
 9.075066e-008  0.0000e+000  3.7533e+000  3.4195e+000  1.0308e+000
 9.087121e-008  0.0000e+000  4.3561e+000  3.6665e+000  1.0308e+000
 9.100000e-008  0.0000e+000  5.0000e+000  3.8594e+000  1.0308e+000
 9.118046e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 9.298507e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 9.498507e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 9.698507e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 9.898507e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 1.000000e-007  4.9631e-014  5.0000e+000  3.8599e+000  1.0308e+000
*

* Parsing                      0.02 seconds
